"fueltype","aspiration","doornumber","carbody","drivewheel","enginelocation","wheelbase","carlength","carwidth","carheight","curbweight","enginetype","cylindernumber","enginesize","fuelsystem","boreratio","stroke","compressionratio","horsepower","peakrpm","citympg","highwaympg","price","car_company"
"gas","std","two","convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","four",130,"mpfi",3.47,2.68,9,111,5000,21,27,13495,"alf"
"gas","std","two","convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","four",130,"mpfi",3.47,2.68,9,111,5000,21,27,16500,"alf"
"gas","std","two","hatchback","rwd","front",94.5,171.2,65.5,52.4,2823,"ohcv","six",152,"mpfi",2.68,3.47,9,154,5000,19,26,16500,"alf"
"gas","std","four","sedan","fwd","front",99.8,176.6,66.2,54.3,2337,"ohc","four",109,"mpfi",3.19,3.4,10,102,5500,24,30,13950,"aud"
"gas","std","four","sedan","4wd","front",99.4,176.6,66.4,54.3,2824,"ohc","five",136,"mpfi",3.19,3.4,8,115,5500,18,22,17450,"aud"
"gas","std","two","sedan","fwd","front",99.8,177.3,66.3,53.1,2507,"ohc","five",136,"mpfi",3.19,3.4,8.5,110,5500,19,25,15250,"aud"
"gas","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","four",108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16430,"bmw"
"gas","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","four",108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16925,"bmw"
"gas","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2710,"ohc","six",164,"mpfi",3.31,3.19,9,121,4250,21,28,20970,"bmw"
"gas","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2765,"ohc","six",164,"mpfi",3.31,3.19,9,121,4250,21,28,21105,"bmw"
"gas","std","two","hatchback","fwd","front",94.5,155.9,63.6,52,1874,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6295,"che"
"gas","std","four","sedan","fwd","front",94.5,158.8,63.6,52,1909,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6575,"che"
"gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","four",90,"2bbl",2.97,3.23,9.41,68,5500,37,41,5572,"dod"
"gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6377,"dod"
"gas","std","four","hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6229,"dod"
"gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6692,"dod"
"gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,7609,"dod"
"gas","std","four","wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","four",122,"2bbl",3.34,3.46,8.5,88,5000,24,30,8921,"dod"
"gas","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1819,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,31,38,6855,"hon"
"gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1837,"ohc","four",79,"1bbl",2.91,3.07,10.1,60,5500,38,42,5399,"hon"
"gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1940,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,6529,"hon"
"gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1956,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,7129,"hon"
"gas","std","four","sedan","fwd","front",96.5,163.4,64,54.5,2010,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,7295,"hon"
"gas","std","four","wagon","fwd","front",96.5,157.1,63.9,58.3,2024,"ohc","four",92,"1bbl",2.92,3.41,9.2,76,6000,30,34,7295,"hon"
"gas","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2236,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,33,7895,"hon"
"gas","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2289,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,33,9095,"hon"
"gas","std","four","sedan","fwd","front",96.5,175.4,65.2,54.1,2304,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,33,8845,"hon"
"gas","std","four","sedan","fwd","front",96.5,175.4,62.5,54.1,2372,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,33,10295,"hon"
"gas","std","four","sedan","fwd","front",96.5,175.4,65.2,54.1,2465,"ohc","four",110,"mpfi",3.15,3.58,9,101,5800,24,28,12945,"hon"
"gas","std","two","sedan","fwd","front",96.5,169.1,66,51,2293,"ohc","four",110,"2bbl",3.15,3.58,9.1,100,5500,25,31,10345,"hon"
"gas","std","four","sedan","rwd","front",94.3,170.7,61.8,53.5,2337,"ohc","four",111,"2bbl",3.31,3.23,8.5,78,4800,24,29,6785,"isu"
"gas","std","two","sedan","fwd","front",94.5,155.9,63.6,52,1874,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,8916.5,"isu"
"gas","std","four","sedan","fwd","front",94.5,155.9,63.6,52,1909,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,8916.5,"isu"
"gas","std","two","hatchback","rwd","front",96,172.6,65.2,51.4,2734,"ohc","four",119,"spfi",3.43,3.23,9.2,90,5000,24,29,11048,"isu"
"gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1890,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,30,31,5195,"max"
"gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1900,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6095,"max"
"gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1905,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6795,"maz"
"gas","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1945,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6695,"maz"
"gas","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1950,"ohc","four",91,"2bbl",3.08,3.15,9,68,5000,31,38,7395,"maz"
"gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2380,"rotor","two",70,"4bbl",3.33,3.255,9.4,101,6000,17,23,10945,"maz"
"gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2380,"rotor","two",70,"4bbl",3.33,3.255,9.4,101,6000,17,23,11845,"maz"
"gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2385,"rotor","two",70,"4bbl",3.33,3.255,9.4,101,6000,17,23,13645,"maz"
"gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2500,"rotor","two",80,"mpfi",3.33,3.255,9.4,135,6000,16,23,15645,"maz"
"gas","std","two","hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,8845,"maz"
"gas","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2410,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,8495,"maz"
"gas","std","two","hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,10595,"maz"
"gas","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2410,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,10245,"maz"
"gas","std","four","hatchback","fwd","front",98.8,177.8,66.5,55.5,2425,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,11245,"maz"
"gas","std","four","sedan","rwd","front",104.9,175,66.1,54.4,2670,"ohc","four",140,"mpfi",3.76,3.16,8,120,5000,19,27,18280,"maz"
"gas","turbo","two","hatchback","rwd","front",102.7,178.4,68,54.8,2910,"ohc","four",140,"mpfi",3.78,3.12,8,175,5000,19,24,16503,"mer"
"gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1918,"ohc","four",92,"2bbl",2.97,3.23,9.4,68,5500,37,41,5389,"mit"
"gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1944,"ohc","four",92,"2bbl",2.97,3.23,9.4,68,5500,31,38,6189,"mit"
"gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,2004,"ohc","four",92,"2bbl",2.97,3.23,9.4,68,5500,31,38,6669,"mit"
"gas","std","two","hatchback","fwd","front",96.3,173,65.4,49.4,2328,"ohc","four",122,"2bbl",3.35,3.46,8.5,88,5000,25,32,8499,"mit"
"gas","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2365,"ohc","four",122,"2bbl",3.35,3.46,8.5,88,5000,25,32,6989,"mit"
"gas","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2405,"ohc","four",122,"2bbl",3.35,3.46,8.5,88,5000,25,32,8189,"mit"
"gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1889,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,5499,"Nis"
"gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1918,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,6649,"nis"
"gas","std","four","sedan","fwd","front",94.5,165.3,63.8,54.5,1938,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,6849,"nis"
"gas","std","four","wagon","fwd","front",94.5,170.2,63.8,53.5,2024,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7349,"nis"
"gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1951,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7299,"nis"
"gas","std","two","hatchback","fwd","front",94.5,165.6,63.8,53.3,2028,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7799,"nis"
"gas","std","four","sedan","fwd","front",94.5,165.3,63.8,54.5,1971,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7499,"nis"
"gas","std","four","wagon","fwd","front",94.5,170.2,63.8,53.5,2037,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7999,"nis"
"gas","std","two","hardtop","fwd","front",95.1,162.4,63.8,53.3,2008,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,8249,"nis"
"gas","std","four","hatchback","fwd","front",97.2,173.4,65.2,54.7,2324,"ohc","four",120,"2bbl",3.33,3.47,8.5,97,5200,27,34,8949,"nis"
"gas","std","four","sedan","fwd","front",97.2,173.4,65.2,54.7,2302,"ohc","four",120,"2bbl",3.33,3.47,8.5,97,5200,27,34,9549,"nis"
"gas","std","four","sedan","fwd","front",100.4,181.7,66.5,55.1,3095,"ohcv","six",181,"mpfi",3.43,3.27,9,152,5200,17,22,13499,"nis"
"gas","std","four","wagon","fwd","front",100.4,184.6,66.5,56.1,3296,"ohcv","six",181,"mpfi",3.43,3.27,9,152,5200,17,22,14399,"nis"
"gas","std","four","sedan","fwd","front",100.4,184.6,66.5,55.1,3060,"ohcv","six",181,"mpfi",3.43,3.27,9,152,5200,19,25,13499,"nis"
"gas","std","two","hatchback","rwd","front",91.3,170.7,67.9,49.7,3071,"ohcv","six",181,"mpfi",3.43,3.27,9,160,5200,19,25,17199,"nis"
"gas","std","two","hatchback","rwd","front",99.2,178.5,67.9,49.7,3139,"ohcv","six",181,"mpfi",3.43,3.27,9,160,5200,19,25,18399,"nis"
"gas","std","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3020,"l","four",120,"mpfi",3.46,3.19,8.4,97,5000,19,24,11900,"peu"
"gas","std","four","wagon","rwd","front",114.2,198.9,68.4,58.7,3230,"l","four",120,"mpfi",3.46,3.19,8.4,97,5000,19,24,12440,"peu"
"gas","std","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3075,"l","four",120,"mpfi",3.46,3.19,8.4,97,5000,19,24,16630,"peu"
"gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1918,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,37,41,5572,"ply"
"gas","std","four","hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6229,"ply"
"gas","std","four","sedan","fwd","front",93.7,167.3,63.8,50.8,1989,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6692,"ply"
"gas","std","four","sedan","fwd","front",93.7,167.3,63.8,50.8,2191,"ohc","four",98,"2bbl",2.97,3.23,9.4,68,5500,31,38,7609,"ply"
"gas","std","four","wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","four",122,"2bbl",3.35,3.46,8.5,88,5000,24,30,8921,"ply"
"gas","std","two","hatchback","rwd","front",94.5,168.9,68.3,50.2,2778,"ohc","four",151,"mpfi",3.94,3.11,9.5,143,5500,19,27,22018,"por"
"gas","std","two","hatchback","fwd","front",99.1,186.6,66.5,56.1,2658,"ohc","four",121,"mpfi",3.54,3.07,9.31,110,5250,21,28,11850,"saa"
"gas","std","four","sedan","fwd","front",99.1,186.6,66.5,56.1,2695,"ohc","four",121,"mpfi",3.54,3.07,9.3,110,5250,21,28,12170,"saa"
"gas","std","four","sedan","fwd","front",99.1,186.6,66.5,56.1,2758,"ohc","four",121,"mpfi",3.54,3.07,9.3,110,5250,21,28,15510,"saa"
"gas","turbo","two","hatchback","fwd","front",99.1,186.6,66.5,56.1,2808,"dohc","four",121,"mpfi",3.54,3.07,9,160,5500,19,26,18150,"saa"
"gas","turbo","four","sedan","fwd","front",99.1,186.6,66.5,56.1,2847,"dohc","four",121,"mpfi",3.54,3.07,9,160,5500,19,26,18620,"saa"
"gas","std","two","hatchback","fwd","front",95.7,158.7,63.6,54.5,1985,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,35,39,5348,"toy"
"gas","std","two","hatchback","fwd","front",95.7,158.7,63.6,54.5,2040,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,31,38,6338,"toy"
"gas","std","four","hatchback","fwd","front",95.7,158.7,63.6,54.5,2015,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,31,38,6488,"toy"
"gas","std","four","wagon","fwd","front",95.7,169.7,63.6,59.1,2280,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,31,37,6918,"toy"
"gas","std","four","wagon","4wd","front",95.7,169.7,63.6,59.1,2290,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,27,32,7898,"toy"
"gas","std","four","wagon","4wd","front",95.7,169.7,63.6,59.1,3110,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,27,32,8778,"toy"
"gas","std","four","sedan","fwd","front",95.7,166.3,64.4,53,2081,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,30,37,6938,"toy"
"gas","std","four","hatchback","fwd","front",95.7,166.3,64.4,52.8,2109,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,30,37,7198,"toy"
"gas","std","four","sedan","fwd","front",95.7,166.3,64.4,53,2094,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,38,47,7738,"toy"
"gas","std","four","hatchback","fwd","front",95.7,166.3,64.4,52.8,2122,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,28,34,8358,"toy"
"gas","std","four","sedan","fwd","front",95.7,166.3,64.4,52.8,2140,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,28,34,9258,"toy"
"gas","std","two","sedan","rwd","front",94.5,168.7,64,52.6,2169,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,29,34,8058,"toy"
"gas","std","two","hatchback","rwd","front",94.5,168.7,64,52.6,2204,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,29,34,8238,"toy"
"gas","std","two","hardtop","rwd","front",98.4,176.2,65.6,52,2540,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,8449,"toy"
"gas","std","two","hardtop","rwd","front",98.4,176.2,65.6,52,2536,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,9639,"toy"
"gas","std","two","hatchback","rwd","front",98.4,176.2,65.6,52,2551,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,9989,"toy"
"gas","std","two","hardtop","rwd","front",98.4,176.2,65.6,52,2679,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,11199,"toy"
"gas","std","two","hatchback","rwd","front",98.4,176.2,65.6,52,2714,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,11549,"toy"
"gas","std","two","convertible","rwd","front",98.4,176.2,65.6,53,2975,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,17669,"toy"
"gas","std","two","hatchback","rwd","front",102.9,183.5,67.7,52,2976,"dohc","six",171,"mpfi",3.27,3.35,9.3,161,5200,20,24,16558,"toy"
"gas","std","two","hatchback","rwd","front",102.9,183.5,67.7,52,3016,"dohc","six",171,"mpfi",3.27,3.35,9.3,161,5200,19,24,15998,"toy"
"gas","std","four","sedan","rwd","front",104.5,187.8,66.5,54.1,3131,"dohc","six",171,"mpfi",3.27,3.35,9.2,156,5200,20,24,15690,"toy"
"gas","std","four","wagon","rwd","front",104.5,187.8,66.5,54.1,3151,"dohc","six",161,"mpfi",3.27,3.35,9.2,156,5200,19,24,15750,"toy"
"gas","std","two","sedan","fwd","front",97.3,171.7,65.5,55.7,2209,"ohc","four",109,"mpfi",3.19,3.4,9,85,5250,27,34,7975,"vol"
"gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2212,"ohc","four",109,"mpfi",3.19,3.4,9,85,5250,27,34,8195,"vol"
"gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2275,"ohc","four",109,"mpfi",3.19,3.4,9,85,5250,27,34,8495,"vol"
"gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2300,"ohc","four",109,"mpfi",3.19,3.4,10,100,5500,26,32,9995,"vol"
"gas","std","two","convertible","fwd","front",94.5,159.3,64.2,55.6,2254,"ohc","four",109,"mpfi",3.19,3.4,8.5,90,5500,24,29,11595,"vw "
"gas","std","two","hatchback","fwd","front",94.5,165.7,64,51.4,2221,"ohc","four",109,"mpfi",3.19,3.4,8.5,90,5500,24,29,9980,"vw "
"gas","std","four","sedan","fwd","front",100.4,180.2,66.9,55.1,2661,"ohc","five",136,"mpfi",3.19,3.4,8.5,110,5500,19,24,13295,"vol"
"gas","std","four","wagon","fwd","front",100.4,183.1,66.9,55.1,2563,"ohc","four",109,"mpfi",3.19,3.4,9,88,5500,25,31,12290,"vol"
"gas","std","four","sedan","rwd","front",104.3,188.8,67.2,56.2,2912,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,23,28,12940,"vol"
"gas","std","four","wagon","rwd","front",104.3,188.8,67.2,57.5,3034,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,23,28,13415,"vol"
"gas","std","four","sedan","rwd","front",104.3,188.8,67.2,56.2,2935,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,24,28,15985,"vol"
"gas","std","four","wagon","rwd","front",104.3,188.8,67.2,57.5,3042,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,24,28,16515,"vol"
"gas","std","four","sedan","rwd","front",109.1,188.8,68.9,55.5,2952,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,23,28,16845,"vol"
"gas","turbo","four","sedan","rwd","front",109.1,188.8,68.8,55.5,3049,"ohc","four",141,"mpfi",3.78,3.15,8.7,160,5300,19,25,19045,"vol"
"gas","std","four","sedan","rwd","front",109.1,188.8,68.9,55.5,3012,"ohcv","six",173,"mpfi",3.58,2.87,8.8,134,5500,18,23,21485,"vol"
"gas","turbo","four","sedan","rwd","front",109.1,188.8,68.9,55.5,3062,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,19,25,22625,"vol"
